69/69logo_small;69LOGO_SMALL
se_industrial/heavy_machinery_panel_05_red;HEAVY_MACHINE08
se_industrial/metal_gold;METAL_GOLD
se_industrial/metal_gold_flake;METAL_GOLD_FL00
se_industrial/metal_gold_flake;METAL_GOLD_FLAK
se_industrial/pipe_label_blue_left;PIPE_LABEL_BLUE
se_industrial/pipe_label_blue_left_corroded;PIPE_LABEL_BL00
se_industrial/pipe_label_blue_right;PIPE_LABEL_BL01
se_industrial/pipe_label_red_left;PIPE_LABEL_RED_
se_industrial/pipe_label_red_left_corroded;PIPE_LABEL_RE00
se_industrial/pipe_label_red_right;PIPE_LABEL_RE01
se_industrial/vine_growth;VINE_GROWTH
se_industrial/vine_growth;VINE_GROWTH00
se_industrial/zinc_electricalbox;ZINC_ELECTRICAL
senn/sennsky1;SENNSKY1
senn/sennsky1;SENNSKY100
senn/sennsky2;SENNSKY2
senn_ra3/arena_intro_1;ARENA_INTRO_1
senn_ra3/arena_intro_2;ARENA_INTRO_2
senn_ra3/arena_intro_3;ARENA_INTRO_3
senn_ra3/senn_banner;SENN_BANNER
senn_ra3/senn_banner_text;SENN_BANNER_TEX
senn_ra3/senn_ceiling_wire;SENN_CEILING_WI
senn_ra3/senn_concra3;SENN_CONCRA3
senn_ra3/senn_concra3wall1;SENN_CONCRA3WAL
senn_ra3/senn_concra3wall2;SENN_CONCRA3W00
senn_ra3/senn_crate;SENN_CRATE
senn_ra3/senn_ra3_logo_alpha;SENN_RA3_LOGO_A
senn_ra3/senn_ra3floor;SENN_RA3FLOOR
senn_ra3/senn_ra3logo_ceiling;SENN_RA3LOGO_CE
senn_ra3/senn_ra3logo_wall;SENN_RA3LOGO_00
senn_ra3/senn_waterfall_1;SENN_WATERFALL_
senn_ra3/senn_waterfall_2;SENN_WATERFAL00
senn_ra3/senn_waterfall_3;SENN_WATERFAL01
sfx/2x1_exy;2X1_EXY
sfx/acid_drip;ACID_DRIP
sfx/b_flame1;B_FLAME1
sfx/b_flame2;B_FLAME2
sfx/b_flame3;B_FLAME3
sfx/b_flame4;B_FLAME4
sfx/b_flame5;B_FLAME5
sfx/b_flame6;B_FLAME6
sfx/b_flame7;B_FLAME7
sfx/b_flame8;B_FLAME8
sfx/b_flameball;B_FLAMEBALL
sfx/beam;BEAM
sfx/beam_1;BEAM_1
sfx/beam_blue4;BEAM_BLUE4
sfx/beam_hi;BEAM_HI
sfx/beam_narrow;BEAM_NARROW
sfx/beam_red;BEAM_RED
sfx/beam_red2;BEAM_RED2
sfx/beam_waterlight;BEAM_WATERLIGHT
sfx/blackness;BLACKNESS
sfx/blocks17final_pent;BLOCKS17FINAL_P
sfx/blocks17g_jumpad;BLOCKS17G_JUMPA
sfx/blocks18ccomputer;BLOCKS18CCOMPUT
sfx/bolts;BOLTS
sfx/bounce_base;BOUNCE_BASE0002
sfx/bounce_concrete;BOUNCE_CONCRE00
sfx/bounce_dirt;BOUNCE_DIRT
sfx/bounce_dirt2;BOUNCE_DIRT2
sfx/bounce_dkfloor;BOUNCE_DKFLOOR
sfx/bounce_largeblock3;BOUNCE_LARGEBLO
sfx/bounce_largeblock3b;BOUNCE_LARGEB00
sfx/bounce_largeblock3b3dim;BOUNCE_LARGEB01
sfx/bounce_metalbridge04;BOUNCE_METALB00
sfx/bounce_metalbridge05;BOUNCE_METALB01
sfx/bounce_shadow;BOUNCE_SHADOW02
sfx/bounce_skulls;BOUNCE_SKULLS
sfx/bounce_xq1metalbig;BOUNCE_XQ1METAL
sfx/bouncepad_concrete_dark;BOUNCEPAD_CONCR
sfx/bouncepad01_block17;BOUNCEPAD01_BLO
sfx/bouncepad01_diamond2cTGA;BOUNCEPAD01_D01
sfx/bouncepad01_metalbridge06b;BOUNCEPAD01_M00
sfx/bouncepad01_xarch;BOUNCEPAD01_XAR
sfx/bouncepad01b_layer1;BOUNCEPAD01B_07
sfx/bouncepad01b_layer1_teal;BOUNCEPAD01B_08
sfx/bouncepad01block18b;BOUNCEPAD01BLOC
sfx/bouncepad1q1metal7_99;BOUNCEPAD1Q1MET
sfx/bullseye;BULLSEYE
sfx/cabletest2;CABLETEST2
sfx/clangdark_bounce;CLANGDARK_BOUNC
sfx/compscreen/letters1;LETTERS1
sfx/compscreen/letters2;LETTERS2
sfx/compscreen/letters3;LETTERS3
sfx/compscreen/letters4;LETTERS4
sfx/compscreen/letters5;LETTERS5
sfx/computer_blocks17;COMPUTER_BLOCKS
sfx/computerblocks15;COMPUTERBLOCKS1
sfx/computerpurptileb;COMPUTERPURPTIL
sfx/console01;CONSOLE0100
sfx/console02;CONSOLE02
sfx/console03;CONSOLE03
sfx/demonltblackfinal;DEMONLTBLACKFIN
sfx/detail;DETAIL
sfx/dirt;DIRT0001
sfx/dust_puppy2;DUST_PUPPY2
sfx/electricgrade3;ELECTRICGRADE3
sfx/electricslime;#ELECTRICSLIME
sfx/electricslime_old;#ELECTRICSLIME_
sfx/electricslime2;#ELECTRICSLIME2
sfx/electricslimeblue;#ELECTRICSLIMEB
sfx/energy_pad_01;ENERGY_PAD_01
sfx/energy_pad_02;ENERGY_PAD_02
sfx/energy_pad_03;ENERGY_PAD_03
sfx/energy_pad_04;ENERGY_PAD_04
sfx/fan;FAN
sfx/fan_grate;FAN_GRATE
sfx/fan_grate2;FAN_GRATE2
sfx/fan_grate3;FAN_GRATE3
sfx/fan3;FAN3
sfx/fan3bladeb;FAN3BLADEB
sfx/fire_ctfblue;FIRE_CTFBLUE
sfx/fire_ctfred;FIRE_CTFRED
sfx/firegorre;FIREGORRE
sfx/firegorre2;FIREGORRE2
sfx/fireswirl2;FIRESWIRL2
sfx/fireswirl2blue;FIRESWIRL2BLU00
sfx/fireswirl2blue2;FIRESWIRL2BLUE2
sfx/firewalla;FIREWALLA
sfx/fishy;FISHY
sfx/flame1;FLAME1
sfx/flame1side;FLAME1SIDE
sfx/flame2;FLAME2
sfx/flame3;FLAME3
sfx/flame4;FLAME4
sfx/flame5;FLAME5
sfx/flame6;FLAME6
sfx/flame7;FLAME7
sfx/flame8;FLAME8
sfx/flameball;FLAMEBALL
sfx/fog_black;FOG_BLACK
sfx/fog_blue;FOG_BLUE
sfx/fog_green;FOG_GREEN
sfx/fog_grey;FOG_GREY
sfx/fog_purp;FOG_PURP
sfx/fog_red;FOG_RED
sfx/fog_yel;FOG_YEL
sfx/g_flame1;G_FLAME1
sfx/g_flame2;G_FLAME2
sfx/g_flame3;G_FLAME3
sfx/g_flame4;G_FLAME4
sfx/g_flame5;G_FLAME5
sfx/g_flame6;G_FLAME6
sfx/g_flame7;G_FLAME7
sfx/g_flame8;G_FLAME8
sfx/g_flameball;G_FLAMEBALL
sfx/healthfloor;HEALTHFLOOR
sfx/healthfloor;HEALTHFLOOR00
sfx/healthfloor_shiny;HEALTHFLOOR_SHI
sfx/hologirl;HOLOGIRL
sfx/hologirl2;HOLOGIRL2
sfx/hprtl_m;HPRTL_M
sfx/hprtl_m2;HPRTL_M2
sfx/jacobs_x;JACOBS_X
sfx/jumppadsmall;JUMPPADSMALL
sfx/jumppadsmall_teal;JUMPPADSMALL_TE
sfx/kenelectric;KENELECTRIC
sfx/largerblock3b3_pent;LARGERBLOCK3B3_
sfx/largerblock3b3x128_pent;LARGERBLOCK3B02
sfx/launchpad_arrow;LAUNCHPAD_ARROW
sfx/launchpad_arrow2;LAUNCHPAD_ARR00
sfx/launchpad_blocks17;LAUNCHPAD_BLOCK
sfx/launchpad_blocks18d;LAUNCHPAD_BLO00
sfx/launchpad_concrete;LAUNCHPAD_CONCR
sfx/launchpad_diamond;LAUNCHPAD_DIAMO
sfx/launchpad_dot;LAUNCHPAD_DOT
sfx/launchpad_metalbridge04d;LAUNCHPAD_METAL
sfx/lavabeam;#LAVABEAM
sfx/lb_beam_01;LB_BEAM_010001
sfx/logo512;LOGO512
sfx/metalbridge06_bounce;METALBRIDGE06_B
sfx/metalfloor_wall_14b;METALFLOOR_WA12
sfx/metalfloor_wall_5b;METALFLOOR_WA13
sfx/metalfloor_wall_7b;METALFLOOR_WA14
sfx/metalfloor_wall_9b;METALFLOOR_WA15
sfx/metaltech12final_bounce;METALTECH12FI00
sfx/metaltechfloor02final_pent2;METALTECHFLOO00
sfx/mirror;MIRROR
sfx/mirrorkc;MIRRORKC
sfx/omm;OMM
sfx/pentagram_blue_exy;PENTAGRAM_BLUE_
sfx/pentagramfloor_red3test;PENTAGRAMFLOO00
sfx/pentdirt2_@256;PENTDIRT2_@256
sfx/pentfloor_diamond2c;PENTFLOOR_DIAMO
sfx/pentfloorq1metal7_99;PENTFLOORQ1META
sfx/portal_orange.add;PORTAL_ORANGE.A
sfx/portal_orange.filter;PORTAL_ORANGE.F
sfx/portal_training;PORTAL_TRAINING
sfx/portal_training_rj;PORTAL_TRAINI00
sfx/portaledge;PORTALEDGE
sfx/portaledge_navy2;PORTALEDGE_NAVY
sfx/portaledge_red2;PORTALEDGE_RED2
sfx/portaledge_teal2;PORTALEDGE_TEAL
sfx/portalfog;PORTALFOG
sfx/portalnoise;PORTALNOISE
sfx/proto_zzzt;PROTO_ZZZT
sfx/proto_zzztblu;PROTO_ZZZTBLU
sfx/proto_zzztblu2;PROTO_ZZZTBLU2
sfx/proto_zzztblu3;PROTO_ZZZTBLU3
sfx/proto_zzztpink;PROTO_ZZZTPINK
sfx/r_flame1;R_FLAME1
sfx/r_flame2;R_FLAME2
sfx/r_flame3;R_FLAME3
sfx/r_flame4;R_FLAME4
sfx/r_flame5;R_FLAME5
sfx/r_flame6;R_FLAME6
sfx/r_flame7;R_FLAME7
sfx/r_flame8;R_FLAME8
sfx/r_flameball;R_FLAMEBALL
sfx/rain;RAIN
sfx/rain_drop1;RAIN_DROP1
sfx/rain_drop2;RAIN_DROP2
sfx/rain_drop3;RAIN_DROP3
sfx/rain_drop4;RAIN_DROP4
sfx/rain2;RAIN2
sfx/shadow;SHADOW0001
sfx/smallerblock3b3dim_pent;SMALLERBLOCK3B3
sfx/snow;SNOW00
sfx/spawn_floor;SPAWN_FLOOR
sfx/spawn_floord2c;SPAWN_FLOORD2C
sfx/specular;SPECULAR
sfx/specular5;SPECULAR5
sfx/swirl_b1;SWIRL_B1
sfx/swirl_b2;SWIRL_B2
sfx/swirl_r1;SWIRL_R1
sfx/swirl_r2;SWIRL_R2
sfx/techfloor_kc;TECHFLOOR_KC00
sfx/techfloor_kc_shadow;TECHFLOOR_KC_00
sfx/techfloor2_kc;TECHFLOOR2_KC00
sfx/tesla1;TESLA100
sfx/tesla1b;TESLA1B
sfx/tesla1blue;TESLA1BLUE
sfx/tesla2;TESLA2
sfx/teslacoil2;TESLACOIL2
sfx/wall_jump;WALL_JUMP0001
sfx/wall_jump_trim;WALL_JUMP_TRIM
sfx/water_reflection;#WATER_REFLECTI
sfx/x_conduit;X_CONDUIT
sfx/x_conduit2;X_CONDUIT2
sfx/x_conduit3;X_CONDUIT3
sfx/xian_dm3padwall;XIAN_DM3PADWA02
sfx/zap_scroll;ZAP_SCROLL
sfx/zap_scroll2;ZAP_SCROLL2
sfx/zap_scroll2blue;ZAP_SCROLL2BLUE
sfx/zap_scrollblue;ZAP_SCROLLBLUE
sfx/zzztblue_kc;ZZZTBLUE_KC00
sfx/zzztntrl_kc;ZZZTNTRL_KC00
sfx/zzztred_kc;ZZZTRED_KC00
sfx2/beam01;BEAM01
sfx2/blaunch;BLAUNCH
sfx2/blaunch2;BLAUNCH2
sfx2/bluegoal2;BLUEGOAL2
sfx2/bouncepad01b_layer1_green;BOUNCEPAD01B_09
sfx2/detail2;DETAIL2
sfx2/dm3padwall_red;DM3PADWALL_RED
sfx2/fan01;FAN01
sfx2/jp_01_alpha_green;JP_01_ALPHA_GRE
sfx2/jp_01_ring_green;JP_01_RING_GREE
sfx2/jumpad01;JUMPAD01
sfx2/jumpad02;JUMPAD02
sfx2/jumpad03;JUMPAD03
sfx2/jumpadb;JUMPADB
sfx2/jumpadb2;JUMPADB200
sfx2/jumpadb3;JUMPADB3
sfx2/jumpadn;JUMPADN
sfx2/jumpadn2;JUMPADN200
sfx2/jumpadr;JUMPADR
sfx2/jumpadr2;JUMPADR2
sfx2/jumpadr3;JUMPADR3
sfx2/jumpadtrim;JUMPADTRIM
sfx2/jumpadx;JUMPADX
sfx2/jumportal01;JUMPORTAL01
sfx2/jumportal02;JUMPORTAL02
sfx2/jumppad_rust;JUMPPAD_RUST
sfx2/launchpad03;LAUNCHPAD03
sfx2/nlaunch;NLAUNCH
sfx2/nlaunch2;NLAUNCH2
sfx2/ouchfog;OUCHFOG
sfx2/redgoal2;REDGOAL2
sfx2/rlaunch;RLAUNCH
sfx2/rlaunch2;RLAUNCH2
sfx2/rlaunch3;RLAUNCH3
sfx2/rlaunch3_blue;RLAUNCH3_BLUE
sfx2/rlaunch3_blue_trim;RLAUNCH3_BLUE_T
sfx2/screen01;SCREEN01
sfx2/swirl_b1;SWIRL_B100
sfx2/swirl_b2;SWIRL_B200
sfx2/swirl_r1;SWIRL_R100
sfx2/swirl_r2;SWIRL_R200
sfx2/tread;TREAD
sgtghost/dk-gothic-floor-2;DK-GOTHIC-FLOOR
sgtghost/ghost;GHOST
sgtghost/Mahq_1;MAHQ_1
sgtghost/Mahq_2;MAHQ_2
sgtghost/Multiarena11;MULTIARENA11
sgtghost/new-floor-A;NEW-FLOOR-A
sgtghost/red1;RED1
sgtghost/sg_light;SG_LIGHT
sgtghost/sg_light2;SG_LIGHT2
sgtghost/sg_lightYel;SG_LIGHTYEL
sgtghost/sg_metfloor;SG_METFLOOR
sgtghost/sg_smfloor01;SG_SMFLOOR01
sgtghost/sgaho_portal;SGAHO_PORTAL
sgtghost/sgassassins;SGASSASSINS
sgtghost/sgblocks10;SGBLOCKS10
sgtghost/sgchromatic;SGCHROMATIC
sgtghost/sgchromatic_portal;SGCHROMATIC_POR
sgtghost/sgrailing;SGRAILING
sgtghost/sgrailing_portal;SGRAILING_PORTA
sgtghost/sgroof;SGROOF
sgtghost/sgrust3;SGRUST3
sgtghost/sgstadium;SGSTADIUM
sgtghost/sgstadium_portal;SGSTADIUM_PORTA
sgtghost/sgtryout;SGTRYOUT
sgtghost/sgtryout_portal;SGTRYOUT_PORTAL
sgtghost/thx;THX
sgtghost/thx_1;THX_1
sgtghost/thx_2;THX_2
sgtghost/thx_3;THX_3
sgtghost/thx_4;THX_4
sgwdw/ghost;GHOST00
sgwdw/pool3d_3c;POOL3D_3C000102
sgwdw/pool3d_5c;POOL3D_5C000102
sgwdw/pool3d_6c;POOL3D_6C000102
sgwdw/q3a_ra3_blocks11b;Q3A_RA3_BLOCK02
sgwdw/sg_light2;SG_LIGHT200
sgwdw/sgwdw_block1;SGWDW_BLOCK1
sgwdw/sgwdw_blueflag;SGWDW_BLUEFLAG
sgwdw/sgwdw_floor1;SGWDW_FLOOR1
sgwdw/sgwdw_floor2;SGWDW_FLOOR2
sgwdw/sgwdw_floor3;SGWDW_FLOOR3
sgwdw/sgwdw_floorPA;SGWDW_FLOORPA
sgwdw/sgwdw_redflag;SGWDW_REDFLAG
shw/base_01_02;BASE_01_02
shw/base_01_03;BASE_01_03
shw/basemetal_01_03;BASEMETAL_01_03
shw/basemetalsupport_01;BASEMETALSUPP00
shw/basemetalsupport_02;BASEMETALSUPP01
shw/basemetalsupport_03;BASEMETALSUPP02
shw/basemetalsupport_04;BASEMETALSUPP03
shw/basemetalsupport_05;BASEMETALSUPP04
shw/basemetalsupport_06;BASEMETALSUPP05
shw/basemetalsupport_07;BASEMETALSUPP06
shw/basesupport_01_02;BASESUPPORT_01_
shw/basesupport_01_04;BASESUPPORT_000
shw/basesupport_01_05;BASESUPPORT_001
shw/blueflare1;BLUEFLARE1
shw/blueflare2;BLUEFLARE200
shw/border2_01;BORDER2_01
shw/border2_02;BORDER2_02
shw/border2_03;BORDER2_03
shw/border2_04;BORDER2_04
shw/box_01_01;BOX_01_01
shw/box_01_02;BOX_01_02
shw/box_01_03;BOX_01_03
shw/box_01_04;BOX_01_04
shw/box_01_05;BOX_01_05
shw/brick01_01;BRICK01_01
shw/brick02_01;BRICK02_01
shw/brick02_05;BRICK02_05
shw/brick03_04;BRICK03_04
shw/brick04_02;BRICK04_02
shw/brickwall_01_02;BRICKWALL_01_02
shw/brickwall_01_03;BRICKWALL_01_03
shw/brickwall_02_01;BRICKWALL_02_01
shw/brickwall_02_08;BRICKWALL_02_08
shw/brickwall_03_03;BRICKWALL_03_03
shw/button_01;BUTTON_01
shw/ceil1_r;CEIL1_R
shw/clang_floor1_1;CLANG_FLOOR1_1
shw/clang_floor2_1;CLANG_FLOOR2_1
shw/clang_floor2_3;CLANG_FLOOR2_3
shw/clang_floor2_4;CLANG_FLOOR2_4
shw/clang_floor3bstairtopa;CLANG_FLOOR3B02
shw/cobaltborder_black;COBALTBORDER_BL
shw/cobaltborder_black_01;COBALTBORDER_01
shw/cobaltborder_blue_01;COBALTBORDER_02
shw/cobaltborder_orange_02;COBALTBORDER_03
shw/cobaltborder_orange_04;COBALTBORDER_04
shw/cobaltborder_red_01;COBALTBORDER_RE
shw/conc_01_01;CONC_01_01
shw/conc_01_03;CONC_01_03
shw/concrete;CONCRETE000102
shw/concrete_01_01;CONCRETE_01_01
shw/concrete_02_01;CONCRETE_02_01
shw/concrete_02_02;CONCRETE_02_02
shw/concrete_03_02;CONCRETE_03_02
shw/concrete02;CONCRETE020001
shw/concrete02h;CONCRETE02H
shw/concrete04_tw;CONCRETE04_TW
shw/concrete1;CONCRETE100
shw/floor_03_02;FLOOR_03_02
shw/floor_04_01;FLOOR_04_01
shw/geolight4_02;GEOLIGHT4_02
shw/grate_trim;GRATE_TRIM00
shw/grit01;GRIT0100
shw/metal_scratch_01_01;METAL_SCRATCH_0
shw/metal_scratch_02_01;METAL_SCRATCH00
shw/metal03_01;METAL03_01
shw/metal03_012;METAL03_012
shw/metal03_012b;METAL03_012B
shw/metalfloor_wall_15_01;METALFLOOR_WA16
shw/metalfloor_wall_15_02;METALFLOOR_WA17
shw/metalfloor_wall_15_03;METALFLOOR_WA18
shw/metalplate_01_07;METALPLATE_01_0
shw/metalplate_01_08;METALPLATE_0100
shw/metalplate_01_09;METALPLATE_0101
shw/metalplate_01_10;METALPLATE_01_1
shw/metalplate_01_12_wide;METALPLATE_0102
shw/metalplate_02_01;METALPLATE_02_0
shw/ooze;OOZE00
shw/panel_01_01;PANEL_01_01
shw/panel_01_02;PANEL_01_02
shw/panel_01_03;PANEL_01_03
shw/panel_01_04;PANEL_01_04
shw/panel_01_05;PANEL_01_05
shw/panel_01_06;PANEL_01_06
shw/panel_02_02;PANEL_02_02
shw/panel_03_01;PANEL_03_01
shw/panel_03_02;PANEL_03_02
shw/panel_03_04;PANEL_03_04
shw/panel_03_06;PANEL_03_06
shw/panel_04_01;PANEL_04_01
shw/panel_05_02;PANEL_05_02
shw/panel_05_02_caution;PANEL_05_02_CAU
shw/panel_05_02_caution2;PANEL_05_02_C00
shw/panel_05_03;PANEL_05_03
shw/panel_05_04;PANEL_05_04
shw/panel_05_05;PANEL_05_05
shw/panel_05_06;PANEL_05_06
shw/panel_05_08;PANEL_05_08
shw/panel_05_10;PANEL_05_10
shw/panel_05_11;PANEL_05_11
shw/panel_05_base;PANEL_05_BASE
shw/panel_06_02;PANEL_06_02
shw/panel_06_03;PANEL_06_03
shw/panel_06_04;PANEL_06_04
shw/panel_06_05;PANEL_06_05
shw/panel_07_02;PANEL_07_02
shw/panel_07_03;PANEL_07_03
shw/panel_07_04;PANEL_07_04
shw/panel_08_01;PANEL_08_01
shw/panel_09_04;PANEL_09_04
shw/panel_09_05;PANEL_09_05
shw/panel_10_01;PANEL_10_01
shw/panel_10_03a;PANEL_10_03A
shw/panel_10_04a;PANEL_10_04A
shw/panel_10_07a;PANEL_10_07A
shw/panel_10_08;PANEL_10_08
shw/panel_10_09a;PANEL_10_09A
shw/panel_10_11;PANEL_10_11
shw/panel_10_12;PANEL_10_12
shw/panel_10_13a;PANEL_10_13A
shw/panel_10_15;PANEL_10_15
shw/panel_10_16;PANEL_10_16
shw/panel_10_17;PANEL_10_17
shw/panel_10_18;PANEL_10_18
shw/panel_10_19;PANEL_10_19
shw/panel_10_20;PANEL_10_20
shw/panel_10_21a;PANEL_10_21A
shw/panel_10_23a;PANEL_10_23A
shw/panel_10_26;PANEL_10_26
shw/panel_10_28a;PANEL_10_28A
shw/panel_edged_01;PANEL_EDGED_01
shw/panel_edged_02;PANEL_EDGED_02
shw/panel_xpass_02;PANEL_XPASS_02
shw/patch10_beatup4;PATCH10_BEATU01
shw/pj_launcher_02;PJ_LAUNCHER_02
shw/proto_concrete06_01;PROTO_CONCRETE0
shw/proto_concrete06_02;PROTO_CONCRET00
shw/proto_concrete06_03;PROTO_CONCRET01
shw/proto_concrete06_04;PROTO_CONCRET02
shw/proto_concrete06_05;PROTO_CONCRET03
shw/proto_panel04blue_01;PROTO_PANEL04BL
shw/proto_panel04red_01;PROTO_PANEL04RE
shw/shw_basewall_01_04;SHW_BASEWALL_01
shw/shw_basewall_01_08;SHW_BASEWALL_00
shw/shw_basewall_01_09;SHW_BASEWALL_02
shw/shw_basewall_01_11;SHW_BASEWALL_03
shw/shw_basewall_01_12;SHW_BASEWALL_04
shw/shw_basewall_02_01;SHW_BASEWALL_05
shw/shw_blocks1a;SHW_BLOCKS1A
shw/shw_blocks1b;SHW_BLOCKS1B
shw/shw_blocks1c;SHW_BLOCKS1C
shw/shw_blocks1d;SHW_BLOCKS1D
shw/shw_blocks1e;SHW_BLOCKS1E
shw/shw_concrete_01_01;SHW_CONCRETE_01
shw/shw_largerblock1a;SHW_LARGERBLOCK
shw/shw_largerblock1b;SHW_LARGERBLO00
shw/shw_metalsupport1a;SHW_METALSUPPOR
shw/shw_metalsupport1b;SHW_METALSUPP00
shw/shw_metalsupport1c;SHW_METALSUPP01
shw/shw_metalsupport1d;SHW_METALSUPP02
shw/shw_metalsupport2a;SHW_METALSUPP03
shw/shw_metalsupport2b;SHW_METALSUPP04
shw/shw_metalsupport2c;SHW_METALSUPP05
shw/shw_metalsupport2d;SHW_METALSUPP06
shw/shw_metalsupport2e;SHW_METALSUPP07
shw/shw_metalsupport2f;SHW_METALSUPP08
shw/shw_metalsupport2g;SHW_METALSUPP09
shw/shw_metalsupport3_base;SHW_METALSUPP12
shw/shw_metalsupport3c;SHW_METALSUPP10
shw/shw_metalsupport3i;SHW_METALSUPP11
shw/shw_organic2;SHW_ORGANIC2
shw/shw_streetbricks1a;SHW_STREETBRICK
shw/shw_streetbricks1b;SHW_STREETBRI00
shw/shw_trim_01_02;SHW_TRIM_01_02
shw/shw_trim_11_01;SHW_TRIM_11_01
shw/shw_trim1a;SHW_TRIM1A
shw/support_01_01;SUPPORT_01_01
shw/support1rust;SUPPORT1RUST00
shw/support2rust;SUPPORT2RUST
shw/supportctfblu_noshader;SUPPORTCTFBLU00
shw/trim_02_01;TRIM_02_01
shw/trim_03_01;TRIM_03_01
shw/trim_04_01;TRIM_04_01
shw/trim_06_01;TRIM_06_01
shw/trim_15_01;TRIM_15_01
shw/trim_15_02;TRIM_15_02
shw/trim_15_03;TRIM_15_03
shw/trim02_01;TRIM02_01
shw/wall_01_01;WALL_01_01
shw/wall_02_01;WALL_02_01
shw/wall_03_01;WALL_03_01
shw/wall_03_03;WALL_03_03
shw/wall_03_04;WALL_03_04
shw/wall_03_05;WALL_03_05
shw/wall_04_01;WALL_04_01
shw/wall_04_02;WALL_04_02
shw/wall_04_09;WALL_04_09
shw/wall_05_01;WALL_05_01
shw/wall_05_03;WALL_05_03
shw/wall_05_04;WALL_05_04
shw/wall_05_05;WALL_05_05
shw/wall_06_01;WALL_06_01
shw/wall_06_02;WALL_06_02
shw/wall_06_07;WALL_06_07
shw/wall_06_10;WALL_06_10
shw/wall_07_01;WALL_07_01
shw/wall_07_02;WALL_07_02
shw/wall_07_03;WALL_07_03
shw/wall_07_04;WALL_07_04
shw/wall_08_01;WALL_08_01
shw/wall_08_02;WALL_08_02
shw/wall_08_03;WALL_08_03
shw/wall_09_01;WALL_09_01
shw/wall_11_01;WALL_11_01
shw/wall_15_01;WALL_15_01
shw/wall_15_02;WALL_15_02
shw/wall_15_03;WALL_15_03
shw/wall_16_02;WALL_16_02
skies/belclouds;BELCLOUDS
skies/black_up;BLACK_UP
skies/blacksky;BLACKSKY
skies/bluedimclouds;BLUEDIMCLOUDS
skies/bluesky1;BLUESKY10001
skies/bluetopclouds;BLUETOPCLOUDS
skies/cannery_blueclouds;CANNERY_BLUECLO
skies/cannery_dimclouds;CANNERY_DIMCLOU
skies/devilish_dimclouds;DEVILISH_DIMCLO
skies/dimclouds;DIMCLOUDS00
skies/env/devilish_bk;DEVILISH_BK
skies/env/devilish_dn;DEVILISH_DN
skies/env/devilish_ft;DEVILISH_FT
skies/env/devilish_lf;DEVILISH_LF
skies/env/devilish_rt;DEVILISH_RT
skies/env/devilish_up;DEVILISH_UP
skies/env/qznebula3_bk;QZNEBULA3_BK
skies/env/qznebula3_dn;QZNEBULA3_DN
skies/env/qznebula3_ft;QZNEBULA3_FT
skies/env/qznebula3_lf;QZNEBULA3_LF
skies/env/qznebula3_rt;QZNEBULA3_RT
skies/env/qznebula3_up;QZNEBULA3_UP
skies/env/spider/spider2_bk;SPIDER2_BK
skies/env/spider/spider2_dn;SPIDER2_DN
skies/env/spider/spider2_ft;SPIDER2_FT
skies/env/spider/spider2_lf;SPIDER2_LF
skies/env/spider/spider2_rt;SPIDER2_RT
skies/env/spider/spider2_up;SPIDER2_UP
skies/env/strato_bk;STRATO_BK
skies/env/strato_dn;STRATO_DN
skies/env/strato_ft;STRATO_FT
skies/env/strato_lf;STRATO_LF
skies/env/strato_rt;STRATO_RT
skies/env/strato_up;STRATO_UP
skies/env/terra1_bk;TERRA1_BK
skies/env/terra1_dn;TERRA1_DN
skies/env/terra1_ft;TERRA1_FT
skies/env/terra1_lf;TERRA1_LF
skies/env/terra1_rt;TERRA1_RT
skies/env/terra1_up;TERRA1_UP
skies/env/toxicity_bk;TOXICITY_BK
skies/env/toxicity_dn;TOXICITY_DN
skies/env/toxicity_ft;TOXICITY_FT
skies/env/toxicity_lf;TOXICITY_LF
skies/env/toxicity_rt;TOXICITY_RT
skies/env/toxicity_up;TOXICITY_UP
skies/inteldimclouds;INTELDIMCLOUDS
skies/inteldimredclouds;INTELDIMREDCLOU
skies/intelredclouds;INTELREDCLOUDS
skies/jcook_nlights;JCOOK_NLIGHTS
skies/jcook_stars;JCOOK_STARS
skies/killsky_1;SKY4
skies/killsky_2;SKY4
skies/lightn_clouds1;LIGHTN_CLOUDS1
skies/lightn_clouds2;LIGHTN_CLOUDS2
skies/meth_clouds;METH_CLOUDS
skies/meth_clouds_blue;METH_CLOUDS_BLU
skies/meth_clouds_blue2;METH_CLOUDS_B00
skies/meth_clouds_green;METH_CLOUDS_GRE
skies/meth_clouds_green2;METH_CLOUDS_G00
skies/meth_clouds2;METH_CLOUDS2
skies/meth_clouds3;METH_CLOUDS3
skies/pjbasesky;PJBASESKY
skies/proto_sky;PROTO_SKY
skies/proto_sky2;PROTO_SKY2
skies/redcloudsa;REDCLOUDSA
skies/sennsky1;SENNSKY10001
skies/sennsky2;SENNSKY200
skies/shakennotlarge_sky;SHAKENNOTLARGE_
skies/shakennotlarge_sky3;SHAKENNOTLARG00
skies/sky_dark;SKY4
skies/sky_dark_2;SKY4
skies/space1_bk;SPACE1_BK
skies/stars_red;STARS_RED
skies/stormclouds_003;STORMCLOUDS_003
skies/tim_hell;SKY4
skies/topclouds;TOPCLOUDS
skies/toxicsky;TOXICSKY
skies/xnight2_up;XNIGHT2_UP
skies/xtoxicskytim_q3dm5;SKY4
skies2/clouds2;CLOUDS200
